id,species,observed_on,place_guess,location,user,latitude,longitude,sex,life_stage,url,year
51114621,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.6418108426,-74.2616303354",lrburger,39.6418108426,-74.2616303354,female,,https://www.inaturalist.org/observations/51114621,2020
51113293,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.7947814462,-74.3055425403",jaburger,39.7947814462,-74.3055425403,female,,https://www.inaturalist.org/observations/51113293,2020
50145472,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.360970822,-74.4963732961",mlrp,39.360970822,-74.4963732961,female,,https://www.inaturalist.org/observations/50145472,2020
50145497,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.3481878113,-74.5649870696",mlrp,39.3481878113,-74.5649870696,female,,https://www.inaturalist.org/observations/50145497,2020
50146651,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.3891841741,-74.5582515043",mlrp,39.3891841741,-74.5582515043,female,,https://www.inaturalist.org/observations/50146651,2020
50146806,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.2517207502,-74.5110771765",mlrp,39.2517207502,-74.5110771765,female,,https://www.inaturalist.org/observations/50146806,2020
50146963,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.3558861096,-74.5368907846",mlrp,39.3558861096,-74.5368907846,female,,https://www.inaturalist.org/observations/50146963,2020
50147677,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.3867961866,-74.4049247836",mlrp,39.3867961866,-74.4049247836,female,,https://www.inaturalist.org/observations/50147677,2020
50148038,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.2420690174,-74.43766461",mlrp,39.2420690174,-74.43766461,female,,https://www.inaturalist.org/observations/50148038,2020
50148321,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.3327254168,-74.4781627175",mlrp,39.3327254168,-74.4781627175,female,,https://www.inaturalist.org/observations/50148321,2020
50149254,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.3665188882,-74.407685456",mlrp,39.3665188882,-74.407685456,female,,https://www.inaturalist.org/observations/50149254,2020
50149542,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.2932446786,-74.4255696832",mlrp,39.2932446786,-74.4255696832,female,,https://www.inaturalist.org/observations/50149542,2020
